Organism,Modeling region,20150207_CLK_BAP_VO_1,20150207_CLK_BAP_VO_2,20150207_CLK_BAP_VO_3,20150207_CLK_BAP_VO_4,20150207_CLK_BAP_VO_5,20150207_CLK_BAP_VO_6,20150207_CLK_BAP_VO_7,20150207_CLK_BAP_VO_8,20150207_CLK_BAP_VO_9,20150207_CLK_BAP_VO_10,X20150207_CLK_BAP_VO_11,X20150207_CLK_BAP_VO_12,X20150207_CLK_BAP_VO_13,X20150207_CLK_BAP_VO_14,X20150207_CLK_BAP_VO_15,X20150207_CLK_BAP_VO_16,X20150207_CLK_BAP_VO_17,X20150207_CLK_BAP_VO_18,X20150207_CLK_BAP_VO_19,X20150207_CLK_BAP_VO_20,X20150207_CLK_BAP_VO_21,X20150207_CLK_BAP_VO_22,X20150207_CLK_BAP_VO_23,X20150207_CLK_BAP_VO_24,X20150207_CLK_BAP_VO_25,X20150207_CLK_BAP_VO_26,X20150207_CLK_BAP_VO_27,X20150207_CLK_BAP_VO_28,X20150207_CLK_BAP_VO_29,X20150207_CLK_BAP_VO_30,X20150207_CLK_BAP_VO_31,X20150207_CLK_BAP_VO_32,X20150207_CLK_BAP_VO_33,X20150207_CLK_BAP_VO_34,X20150207_CLK_BAP_VO_35,X20150207_CLK_BAP_VO_36,X20150207_CLK_BAP_VO_37,X20150207_CLK_BAP_VO_38,X20150207_CLK_BAP_VO_39,X20150207_CLK_BAP_VO_40,X20150207_CLK_BAP_VO_41,X20150207_CLK_BAP_VO_42,X20150207_CLK_BAP_VO_43,X20150207_CLK_BAP_VO_47
OC3,18-22,33.94886184,26.03617673,22.4283084,99.5614685,117.8357135,114.2854286,30.82156967,28.54558609,40.8575006,43.15617585,59.89152422,76.96601083,39.17115999,-25.61633675,-54.66693439,-4.216899513,18.58296326,27.58858265,86.55154875,83.08212996,80.08387797,-49.10516137,-99.03787308,14.0367654,20.91803521,-7.934094928,5.425421406,-61.85382453,-44.79122683,-134.6178268,20.37745858,43.38279854,28.94711792,27.54800994,16.82774645,13.36448144,8.854919649,-10.26533603,34.31191502,29.95858382,11.33453215,-9.588108432,-16.1418186,39.3684381
EF1,18-21,-7.454994705,-6.777267914,0,54.23932227,77.6632545,85.90187081,83.57218496,52.05788916,42.61207201,-14.50758913,4.659371691,4.066360748,-1.884927639,5.294740558,17.19731733,23.31803742,9.445817155,85.90187081,97.7409107,100.4883848,31.56829354,0.279536034,18.4397391,3.306236545,-6.602833917,17.55293513,99.04250876,3.074896379,-0.453041159,5.812421682,8.530668637,3.903865309,29.67901552,85.00787199,88.90209813,76.58323426,86.01034605,86.63796049,87.70418973,86.63796049,0,88.89344542,79.83049689,76.95987971
EF2,18-21,-8.979879986,-6.036004236,0,57.28909283,77.53618073,86.02894458,40.87539711,73.40628309,39.98588069,4.913519238,-4.701729615,-5.082950935,-2.414401694,20.79774091,5.31591952,62.24497,2.266148959,87.08789269,98.60924815,99.35096231,41.24602384,0.742216367,25.55344922,4.617164155,6.140153584,12.46345147,98.71477685,2.457989268,3.711081837,11.80798766,2.959226296,3.672525142,21.25437779,79.95694502,89.73106706,78.60746072,85.75972753,84.32096234,88.52436607,80.25456704,0,83.56229923,83.95436259,74.61584119
EF3,18-21,6.925520649,-6.311330745,0,54.40875397,73.89339922,87.8715143,38.63042711,83.95340628,11.71196611,12.30497706,-5.654782916,-5.104129898,-7.370278856,13.97811507,-3.473349806,36.91493117,-1.884927639,86.00776562,-9.361101306,99.08106545,47.45365164,-4.771390933,19.73138836,2.245927449,6.429328792,-0.684381326,99.69797256,1.821803811,4.887061016,2.901391254,2.901391254,7.778813096,54.35529994,86.43446968,83.2149857,79.455708,84.19818141,88.44234844,83.76734331,84.42920266,0,81.7989201,84.35006265,77.32895906
AB1,17-21,-0.915133417,-1.233021867,0,74.9735093,91.24361815,98.52615355,99.1330315,97.5724882,90.6945381,77.3432232,59.33917734,41.79751469,26.59666699,8.274732685,25.18061844,41.39292939,47.57730469,98.3816588,100.2889895,100.5849289,10.67952292,1.220125211,4.428094868,10.43275602,2.508796783,2.399122607,100.3929991,-1.933007357,1.028195403,8.321528127,-2.728145135,7.690901613,39.19480876,66.31174885,89.53525568,91.67390212,92.27711009,97.56285522,96.29130142,97.50505732,0,95.22204027,94.18167807,97.01377517
AB2,17-21,-2.273384067,-3.920624217,0,75.4358925,91.908294,98.1504672,97.2257008,97.83257875,89.7119738,79.8285329,62.05567864,48.67546479,21.10586649,29.11087564,15.96185339,52.17223774,31.74068009,98.52615355,100.2889895,100.4752548,33.27240324,-1.603984828,3.249097473,11.33756798,2.974912032,-3.961979619,100.4478362,-5.140977014,0.479824521,-4.455513412,16.27290591,3.276516017,52.76698807,41.99150025,93.81254855,91.48197231,94.82703468,96.49359407,96.43579617,95.77112032,0,97.41836047,95.16424237,96.46469512
AB3,17-21,-0.279356517,-1.117426067,0,75.2047009,91.0413255,97.9770735,95.92524805,97.71698295,80.14642135,69.13592139,36.16221944,37.11588479,8.361429535,18.50496099,3.448608034,44.97639919,1.454580484,98.0926693,100.3467874,100.5575104,30.69506009,1.987844445,4.97646575,15.50518667,2.508796783,3.907142531,100.5026733,3.221678929,1.850751725,4.37325778,15.06648997,12.1601243,69.90357812,46.84458255,95.26573139,92.33194717,94.2786638,96.78258357,96.86928042,95.33763607,0,96.92707832,94.58626337,95.51102977
PA1,17-21,8.927319467,6.426735219,0,75.88221547,42.18275298,38.18649217,25.77705071,32.81140453,23.06613695,13.76489834,8.553400327,7.29142323,2.640803926,4.11311054,-1.378826829,-2.126665109,0.958167796,4.814208927,20.70577238,37.69212199,17.31713205,18.59660417,22.8936992,18.71730909,12.68206325,21.37281725,8.191840348,18.21034843,13.16488292,18.47589925,18.5483222,17.26885008,17.00329927,27.40806309,29.72559749,44.66886618,43.05142029,75.4860242,27.82644973,80.21693784,0,60.66750104,97.48852733,103.9215686
PA2,17-21,5.118018229,6.870764197,0,72.2598738,45.64150502,32.48422529,31.66627717,26.73521851,22.55199813,14.27903716,7.548492638,2.944613227,0.701098387,1.285347044,-1.168497312,-5.655526992,-0.327179247,1.939705539,19.16335592,40.63732196,17.48611893,15.941096,23.44894182,19.07942384,17.92065663,17.43783697,7.805584614,14.99959765,15.02373863,14.80646978,17.26885008,13.86497143,15.33757142,27.21493522,31.24647944,57.29460047,33.15361712,29.17813934,24.77263246,45.54860242,0,66.70004172,53.38339591,92.13183146
PA3,17-21,5.42182753,9.277868661,0,69.61906988,51.55410143,30.89506894,29.2591727,25.02921243,17.29376022,15.00350549,6.683804627,2.360364571,0.841318065,-1.939705539,-0.467398925,-2.500584249,1.355456882,2.80439355,-0.397289086,39.23714493,19.68294842,18.30691237,18.37933532,21.08312545,15.82039108,18.64488614,10.41281082,17.46197795,17.12400418,15.57898125,15.86867305,17.65510582,17.2447091,25.57334835,39.30956788,46.76913173,53.81829887,30.6549854,47.25073008,2.369628703,0,95.23571131,53.15811431,99.66624948
FG1,19-24,25.76575081,12.3848261,68.09994189,31.57632606,18.36141778,18.5606375,45.72092637,22.24620237,18.12899477,16.83406657,14.21100689,66.83821698,34.09977588,82.67618494,66.97103013,32.93766083,16.90047315,15.04108907,9.363326969,13.28131485,119.9966797,98.97899892,91.17622645,10.69145845,74.10973686,114.717357,5.976591683,90.57856728,143.3385905,174.151241,203.1045073,188.1630281,188.7938906,177.8036026,164.555491,28.42201378,9.496140118,3.785174732,67.50228273,183.2821449,2.125010376,0.69726903,5.511745663,5.179712792
FG2,19-24,73.21324811,31.44351291,134.0084668,27.99037105,26.46301984,28.72084336,50.46899643,57.20926372,46.18577239,27.95716776,30.9454636,53.42408898,73.84411057,24.70324562,60.99443845,37.42010459,39.7111314,31.64273263,13.6797543,65.90852494,71.6858969,114.3853241,102.1665145,12.65045239,56.44558811,39.2130821,4.050801029,39.67792811,168.3074624,163.2937661,164.1238483,52.66041338,44.6252179,88.08832074,73.57848427,41.7697352,2.589856396,1.892587366,2.988295841,93.1020171,-0.23242301,-0.23242301,-1.261724911,0.763675604
FGA,19-24,524.4869278,296.1112471,856.8842819,277.2312226,268.8804426,281.225074,400.1329205,436.9852759,376.7144286,277.0496839,293.3881667,416.2898645,527.9361631,259.2588916,457.6806874,328.7882126,341.3143827,297.2004793,198.9880443,484.5484145,516.1361478,749.594912,682.7886716,193.3603447,432.8098859,338.5913022,146.3418222,341.132844,1044.413756,1017.001413,1021.53988,412.1144745,368.1821098,605.8162641,526.4838535,352.5697819,138.3541195,134.5418069,140.5325839,633.2286073,122.9233303,122.9233303,117.2956307,124.1941011
